91,1,17,55,2,11,43,48,7,18,19
39,1,8,5,1,10,19,20,5,17,7
91,1,12,76,1,18,0,91,8,27,18
56,1,6,10,1,14,31,25,3,12,19
279,1,52,189,2,58,149,130,41,68,74
89,1,16,61,1,17,44,45,14,25,17
125,2,22,36,1,25,58,67,17,33,36
177,1,27,97,2,38,86,91,21,47,51
63,2,13,22,1,12,29,34,7,17,22
268,1,42,205,2,50,127,141,35,67,58
109,2,21,68,2,16,46,63,10,32,24
49,1,6,35,1,13,24,25,10,14,15
153,1,26,72,1,31,66,87,22,33,39
248,2,49,150,2,40,118,130,33,56,74
237,1,39,9,1,45,122,115,27,53,49
66,2,19,21,0,9,33,33,9,18,14
273,1,41,96,0,54,136,137,36,74,67
268,1,48,184,2,57,141,127,27,83,67
205,2,35,44,1,36,100,105,19,57,54
164,1,28,33,0,34,93,71,23,35,48
153,1,20,47,2,38,74,79,17,36,37
213,1,40,75,2,35,98,115,27,40,57
246,1,42,37,1,46,117,129,31,58,64
159,1,19,67,0,36,84,75,17,28,27
288,1,44,230,2,57,146,142,35,61,70
40,1,9,27,2,9,18,22,4,17,12
300,1,44,202,1,53,136,164,35,68,71
28,2,4,25,0,5,13,15,3,6,6
261,1,49,87,1,39,114,147,30,71,61
254,1,43,232,0,54,142,112,28,71,58
81,1,11,49,1,19,38,43,5,23,22
54,1,8,34,0,11,27,27,6,14,16
169,1,22,18,0,35,97,72,20,44,29
106,2,18,28,1,24,51,55,16,30,23
40,1,7,1,2,8,25,15,2,10,15
172,1,28,67,0,34,91,81,20,47,45
271,1,35,251,1,54,133,138,31,68,71
70,2,17,8,2,12,36,34,5,25,16
126,1,20,12,1,25,55,71,16,32,26
176,1,28,141,0,34,75,101,21,47,33
215,1,34,74,1,49,113,102,24,48,52
245,1,41,99,1,47,121,124,34,75,59
21,1,6,1,2,9,11,10,3,4,3
266,1,34,260,2,48,126,140,39,70,62
226,1,40,221,2,45,101,125,32,58,54
236,1,31,31,2,50,122,114,29,60,59
99,1,13,55,2,23,58,41,6,24,21
278,1,44,11,2,56,135,143,51,75,54
105,2,21,31,0,23,47,58,14,23,23
245,1,43,37,1,36,114,131,43,67,61
119,1,15,109,2,25,54,65,18,28,32
262,1,46,56,0,47,120,142,25,67,66
142,1,25,17,2,34,78,64,15,34,35
229,1,33,150,1,47,116,113,23,64,56
22,1,2,12,2,5,10,12,3,10,4
64,1,7,40,2,15,34,30,6,15,11
119,1,17,68,2,26,59,60,17,35,27
255,1,39,230,1,54,125,130,34,58,58
131,2,21,122,0,19,66,65,18,31,33
157,1,25,113,1,35,76,81,15,41,30
239,1,32,19,1,44,115,124,31,52,55
39,2,10,32,0,7,21,18,4,7,10
142,1,11,74,0,29,84,58,12,36,40
38,2,6,36,2,8,21,17,3,6,12
